Latitude,Longitude,Value
-2.5,-137.5,1.350990325
-2.5,-132.5,1.121517694
-2.5,-127.5,1.244404665
-2.5,-122.5,1.282564906
-2.5,-117.5,1.123409964
-2.5,-112.5,1.048285339
-2.5,-107.5,1.065503221
-2.5,-102.5,1.015184733
-2.5,-97.5,1.145030385
-2.5,-92.5,1.308254478
-2.5,-87.5,1.380823356
-2.5,-82.5,1.629400849
-2.5,-77.5,2.172527547
-2.5,-72.5,1.98440392
-2.5,-67.5,2.208583195
-2.5,-62.5,3.096802352
-2.5,-57.5,2.912357354
-2.5,-52.5,2.971180518
-2.5,-47.5,2.830305078
-2.5,-42.5,2.182452599
-2.5,-37.5,1.964591541
-2.5,-32.5,1.898695736
-2.5,-27.5,1.971571052
-2.5,-22.5,2.086779583
-2.5,-17.5,2.202445883
-2.5,-12.5,2.257404622
