Latitude,Longitude,Value,Value_Celsius
-32.5,172.5,2.115739513,1.1754108405555554
-32.5,177.5,2.147807633,1.1932264627777778
-27.5,-177.5,2.207304849,1.2262804716666666
-27.5,-172.5,2.110591356,1.1725507533333335
-27.5,-167.5,2.144370118,1.191316732222222
-27.5,-162.5,1.978724148,1.0992911933333334
-27.5,-157.5,1.91976555,1.0665364166666667
-27.5,-152.5,1.949977174,1.0833206522222223
-27.5,-142.5,1.915556217,1.0641978983333333
-27.5,-137.5,1.902297611,1.0568320061111112
-27.5,-132.5,1.661017071,0.9227872616666668
-27.5,-127.5,1.686554175,0.9369745416666666
-27.5,-122.5,1.526528821,0.8480715672222223
-27.5,-117.5,1.458785113,0.8104361738888889
-27.5,-112.5,1.251701929,0.6953899605555556
-27.5,-107.5,1.089944508,0.6055247266666668
-27.5,-102.5,0.820178,0.4556544444444444
-27.5,-87.5,0.736639988,0.40924443777777775
-27.5,-82.5,1.250539664,0.6947442577777777
-27.5,-77.5,1.223940194,0.6799667744444444
-27.5,-72.5,1.28220728,0.7123373777777777
-27.5,-67.5,1.814624811,1.0081248950000001
-27.5,-62.5,2.105974864,1.1699860355555556
-27.5,-57.5,2.372797579,1.3182208772222224
-27.5,-52.5,3.331761857,1.8509788094444444
-27.5,-47.5,2.740797674,1.5226653744444443
-27.5,-42.5,2.244273285,1.2468184916666667
-27.5,-37.5,2.115228414,1.1751268966666668
-27.5,-32.5,2.144830662,1.19157259
-27.5,-27.5,2.217196522,1.2317758455555556
-27.5,-22.5,2.10608552,1.1700475111111113
-27.5,-17.5,1.937032179,1.0761289883333331
-27.5,-12.5,1.692068938,0.9400382988888888
-27.5,-7.5,1.763718266,0.9798434811111112
-27.5,-2.5,1.858596973,1.032553873888889
-27.5,2.5,1.972325257,1.0957362538888888
-27.5,7.5,2.014774929,1.119319405
-27.5,12.5,2.095693466,1.1642741477777778
-27.5,17.5,2.670387656,1.4835486977777776
-27.5,22.5,3.254425532,1.8080141844444444
-27.5,27.5,3.32282707,1.846015038888889
-27.5,32.5,2.323765548,1.2909808600000001
-27.5,37.5,1.755890638,0.9754947988888889
-27.5,42.5,1.679531236,0.9330729088888889
-27.5,47.5,1.677198988,0.9317772155555555
-27.5,52.5,1.533691036,0.8520505755555556
-27.5,57.5,1.436837178,0.7982428766666667
-27.5,62.5,1.392202783,0.7734459905555556
-27.5,67.5,1.34030289,0.7446127166666667
-27.5,72.5,1.466016284,0.8144534911111111
-27.5,77.5,1.559821882,0.8665677122222222
-27.5,82.5,1.501539048,0.83418836
-27.5,87.5,1.629747447,0.9054152483333334
-27.5,92.5,1.794451882,0.9969177122222221
-27.5,97.5,1.875565551,1.0419808616666666
-27.5,102.5,1.85992205,1.033290027777778
-27.5,107.5,1.787931038,0.9932950211111111
-27.5,112.5,1.808985297,1.0049918316666666
-27.5,117.5,2.661987477,1.4788819316666666
-27.5,122.5,2.782640537,1.5459114094444442
-27.5,127.5,3.296701129,1.8315006272222223
-27.5,132.5,3.125853765,1.7365854250000001
-27.5,137.5,2.893357044,1.60742058
-27.5,142.5,2.311411953,1.2841177516666666
-27.5,147.5,1.693167871,0.9406488172222223
-27.5,152.5,2.209493532,1.2274964066666667
-27.5,157.5,2.413470473,1.3408169294444443
-27.5,162.5,2.34670462,1.303724788888889
-27.5,167.5,2.190393422,1.2168852344444445
-27.5,172.5,2.041407049,1.1341150272222222
-27.5,177.5,2.07919484,1.1551082444444445
-22.5,-177.5,2.078932774,1.1549626522222223
-22.5,-172.5,1.972745934,1.0959699633333333
-22.5,-167.5,2.062822567,1.146012537222222
-22.5,-162.5,1.894250906,1.0523616144444443
-22.5,-157.5,1.519706044,0.8442811355555556
-22.5,-152.5,1.791814135,0.9954522972222222
-22.5,-142.5,1.556672436,0.86481802
-22.5,-137.5,1.44960023,0.805333461111111
-22.5,-132.5,1.323458433,0.735254685
-22.5,-127.5,1.202008533,0.6677825183333334
-22.5,-122.5,1.073711024,0.5965061244444444
-22.5,-117.5,0.911082184,0.5061567688888888
-22.5,-112.5,0.846684253,0.4703801405555556
-22.5,-107.5,0.705517473,0.3919541516666667
-22.5,-102.5,0.630676365,0.35037575833333334
-22.5,-97.5,0.575001369,0.31944520499999995
-22.5,-92.5,0.551689869,0.3064943716666667
-22.5,-87.5,1.062311697,0.5901731649999999
-22.5,-82.5,1.425515626,0.7919531255555555
-22.5,-77.5,1.524839277,0.8471329316666667
-22.5,-72.5,1.687784566,0.9376580922222222
-22.5,-67.5,2.023234237,1.1240190205555556
-22.5,-62.5,2.882606542,1.6014480788888887
-22.5,-57.5,2.99790887,1.6655049277777776
-22.5,-52.5,3.585372687,1.991873715
